station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
VAR;06.12.1884 00:00;0;;
VAR;07.12.1884 00:00;0;;
VAR;08.12.1884 00:00;0;;
VAR;09.12.1884 00:00;3;;
VAR;10.12.1884 00:00;0;;
VAR;11.12.1884 00:00;7.4;;
VAR;12.12.1884 00:00;0;;
VAR;13.12.1884 00:00;0;;
VAR;14.12.1884 00:00;0;;
VAR;15.12.1884 00:00;0;;
VAR;16.12.1884 00:00;4.2;;
VAR;17.12.1884 00:00;15.4;;
VAR;18.12.1884 00:00;0.2;;
VAR;19.12.1884 00:00;11.8;;
VAR;20.12.1884 00:00;17.2;;
VAR;21.12.1884 00:00;1;;
VAR;22.12.1884 00:00;0;;
VAR;23.12.1884 00:00;0;;
VAR;24.12.1884 00:00;0;;
VAR;25.12.1884 00:00;0.2;;
VAR;26.12.1884 00:00;0;;
VAR;27.12.1884 00:00;0.2;;
VAR;28.12.1884 00:00;0.2;;
VAR;29.12.1884 00:00;0;;
VAR;30.12.1884 00:00;0;;
VAR;31.12.1884 00:00;0;;
VAR;01.01.1885 00:00;0;;
VAR;02.01.1885 00:00;0;;
VAR;03.01.1885 00:00;0;;
VAR;04.01.1885 00:00;0;;
VAR;05.01.1885 00:00;0;;
VAR;06.01.1885 00:00;0.2;;
VAR;07.01.1885 00:00;0;;
VAR;08.01.1885 00:00;0;;
VAR;09.01.1885 00:00;0;;
VAR;10.01.1885 00:00;1.8;;
VAR;11.01.1885 00:00;0.8;;
VAR;12.01.1885 00:00;0;;
VAR;13.01.1885 00:00;0;;
VAR;14.01.1885 00:00;0;;
VAR;15.01.1885 00:00;0.8;;
VAR;16.01.1885 00:00;0;;
VAR;17.01.1885 00:00;0;;
VAR;18.01.1885 00:00;0;;
VAR;19.01.1885 00:00;0;;
VAR;20.01.1885 00:00;0;;
VAR;21.01.1885 00:00;0;;
VAR;22.01.1885 00:00;0;;
VAR;23.01.1885 00:00;0;;
VAR;24.01.1885 00:00;0;;
VAR;25.01.1885 00:00;0;;
VAR;26.01.1885 00:00;0;;
VAR;27.01.1885 00:00;0;;
VAR;28.01.1885 00:00;0;;
VAR;29.01.1885 00:00;0;;
VAR;30.01.1885 00:00;0;;
VAR;31.01.1885 00:00;2.8;;
VAR;01.02.1885 00:00;5.4;;
VAR;02.02.1885 00:00;0.2;;
VAR;03.02.1885 00:00;0;;
VAR;04.02.1885 00:00;0;;
VAR;05.02.1885 00:00;2.2;;
VAR;06.02.1885 00:00;0;;
VAR;07.02.1885 00:00;0;;
VAR;08.02.1885 00:00;0.6;;
VAR;09.02.1885 00:00;7.8;;
VAR;10.02.1885 00:00;0;;
VAR;11.02.1885 00:00;0.4;;
VAR;12.02.1885 00:00;0;;
VAR;13.02.1885 00:00;0;;
VAR;14.02.1885 00:00;0;;
VAR;15.02.1885 00:00;0.8;;
VAR;16.02.1885 00:00;0;;
VAR;17.02.1885 00:00;15.2;;
VAR;18.02.1885 00:00;10.6;;
VAR;19.02.1885 00:00;3;;
VAR;20.02.1885 00:00;18;;
VAR;21.02.1885 00:00;14.2;;
VAR;22.02.1885 00:00;1.6;;
VAR;23.02.1885 00:00;0;;
VAR;24.02.1885 00:00;0;;
VAR;25.02.1885 00:00;0;;
VAR;26.02.1885 00:00;0;;
VAR;27.02.1885 00:00;0;;
VAR;28.02.1885 00:00;3.2;;
VAR;01.03.1885 00:00;0;;
VAR;02.03.1885 00:00;0;;
VAR;03.03.1885 00:00;3.8;;
VAR;04.03.1885 00:00;3.2;;
VAR;05.03.1885 00:00;9.6;;
VAR;06.03.1885 00:00;3.6;;
VAR;07.03.1885 00:00;3.8;;
VAR;08.03.1885 00:00;1.4;;
VAR;09.03.1885 00:00;2.4;;
VAR;10.03.1885 00:00;0;;
VAR;11.03.1885 00:00;0;;
VAR;12.03.1885 00:00;0;;
VAR;13.03.1885 00:00;0;;
VAR;14.03.1885 00:00;0;;
VAR;15.03.1885 00:00;0;;
VAR;16.03.1885 00:00;0;;
VAR;17.03.1885 00:00;0;;
VAR;18.03.1885 00:00;3;;
VAR;19.03.1885 00:00;0;;
VAR;20.03.1885 00:00;0;;
VAR;21.03.1885 00:00;0;;
VAR;22.03.1885 00:00;0;;
VAR;23.03.1885 00:00;0.2;;
VAR;24.03.1885 00:00;0;;
VAR;25.03.1885 00:00;0;;
VAR;26.03.1885 00:00;0;;
VAR;27.03.1885 00:00;0.4;;
VAR;28.03.1885 00:00;0;;
VAR;29.03.1885 00:00;0.1;;
VAR;30.03.1885 00:00;0;;
VAR;31.03.1885 00:00;0;;
VAR;01.04.1885 00:00;0;;
VAR;02.04.1885 00:00;0;;
VAR;03.04.1885 00:00;0;;
VAR;04.04.1885 00:00;3.2;;
VAR;05.04.1885 00:00;0;;
VAR;06.04.1885 00:00;0;;
VAR;07.04.1885 00:00;0;;
VAR;08.04.1885 00:00;0;;
VAR;09.04.1885 00:00;0;;
VAR;10.04.1885 00:00;0;;
VAR;11.04.1885 00:00;2.6;;
VAR;12.04.1885 00:00;3.8;;
VAR;13.04.1885 00:00;0;;
VAR;14.04.1885 00:00;1.6;;
VAR;15.04.1885 00:00;0;;
VAR;16.04.1885 00:00;0;;
VAR;17.04.1885 00:00;0;;
VAR;18.04.1885 00:00;0;;
VAR;19.04.1885 00:00;0;;
VAR;20.04.1885 00:00;0;;
VAR;21.04.1885 00:00;0;;
VAR;22.04.1885 00:00;0;;
VAR;23.04.1885 00:00;0;;
VAR;24.04.1885 00:00;0;;
VAR;25.04.1885 00:00;8;;
VAR;26.04.1885 00:00;6.2;;
VAR;27.04.1885 00:00;4.6;;
VAR;28.04.1885 00:00;0.6;;
VAR;29.04.1885 00:00;0.8;;
VAR;30.04.1885 00:00;1;;
VAR;01.05.1885 00:00;0;;
VAR;02.05.1885 00:00;4;;
VAR;03.05.1885 00:00;3.8;;
VAR;04.05.1885 00:00;6.4;;
VAR;05.05.1885 00:00;3;;
VAR;06.05.1885 00:00;26;;
VAR;07.05.1885 00:00;2.2;;
VAR;08.05.1885 00:00;0.6;;
VAR;09.05.1885 00:00;0;;
VAR;10.05.1885 00:00;0;;
VAR;11.05.1885 00:00;0;;
VAR;12.05.1885 00:00;0.4;;
VAR;13.05.1885 00:00;8.6;;
VAR;14.05.1885 00:00;6.2;;
VAR;15.05.1885 00:00;2.4;;
VAR;16.05.1885 00:00;0;;
VAR;17.05.1885 00:00;3.6;;
VAR;18.05.1885 00:00;0.8;;
VAR;19.05.1885 00:00;0.4;;
VAR;20.05.1885 00:00;0;;
VAR;21.05.1885 00:00;5;;
VAR;22.05.1885 00:00;0.4;;
VAR;23.05.1885 00:00;4.2;;
VAR;24.05.1885 00:00;0;;
VAR;25.05.1885 00:00;0;;
VAR;26.05.1885 00:00;0;;
VAR;27.05.1885 00:00;0;;
VAR;28.05.1885 00:00;0;;
VAR;29.05.1885 00:00;0;;
VAR;30.05.1885 00:00;0;;
VAR;31.05.1885 00:00;0;;
VAR;01.06.1885 00:00;0;;
VAR;02.06.1885 00:00;0;;
VAR;03.06.1885 00:00;0;;
VAR;04.06.1885 00:00;0;;
VAR;05.06.1885 00:00;0;;
VAR;06.06.1885 00:00;0;;
VAR;07.06.1885 00:00;0;;
VAR;08.06.1885 00:00;4;;
VAR;09.06.1885 00:00;18.6;;
VAR;10.06.1885 00:00;0;;
VAR;11.06.1885 00:00;10.6;;
VAR;12.06.1885 00:00;0;;
VAR;13.06.1885 00:00;0;;
VAR;14.06.1885 00:00;1;;
VAR;15.06.1885 00:00;0;;
VAR;16.06.1885 00:00;7.2;;
VAR;17.06.1885 00:00;9.8;;
VAR;18.06.1885 00:00;0;;
VAR;19.06.1885 00:00;0;;
VAR;20.06.1885 00:00;0.8;;
VAR;21.06.1885 00:00;1.2;;
VAR;22.06.1885 00:00;0;;
VAR;23.06.1885 00:00;0;;
VAR;24.06.1885 00:00;0;;
VAR;25.06.1885 00:00;0;;
VAR;26.06.1885 00:00;0;;
VAR;27.06.1885 00:00;0;;
VAR;28.06.1885 00:00;10.8;;
VAR;29.06.1885 00:00;9.4;;
VAR;30.06.1885 00:00;7;;
VAR;01.07.1885 00:00;7.4;;
VAR;02.07.1885 00:00;0;;
VAR;03.07.1885 00:00;0.2;;
VAR;04.07.1885 00:00;4.6;;
VAR;05.07.1885 00:00;0;;
VAR;06.07.1885 00:00;1.2;;
VAR;07.07.1885 00:00;0;;
VAR;08.07.1885 00:00;0;;
VAR;09.07.1885 00:00;0;;
VAR;10.07.1885 00:00;0;;
VAR;11.07.1885 00:00;0;;
VAR;12.07.1885 00:00;0;;
VAR;13.07.1885 00:00;15.2;;
VAR;14.07.1885 00:00;4.6;;
VAR;15.07.1885 00:00;0;;
VAR;16.07.1885 00:00;0;;
VAR;17.07.1885 00:00;0;;
VAR;18.07.1885 00:00;0;;
VAR;19.07.1885 00:00;0;;
VAR;20.07.1885 00:00;0;;
VAR;21.07.1885 00:00;0;;
VAR;22.07.1885 00:00;0;;
VAR;23.07.1885 00:00;0;;
VAR;24.07.1885 00:00;0;;
VAR;25.07.1885 00:00;0;;
VAR;26.07.1885 00:00;0;;
VAR;27.07.1885 00:00;0;;
VAR;28.07.1885 00:00;0;;
VAR;29.07.1885 00:00;0;;
VAR;30.07.1885 00:00;0;;
VAR;31.07.1885 00:00;0;;
VAR;01.08.1885 00:00;0;;
VAR;02.08.1885 00:00;3.6;;
VAR;03.08.1885 00:00;36.6;;
VAR;04.08.1885 00:00;13;;
VAR;05.08.1885 00:00;0;;
VAR;06.08.1885 00:00;25.4;;
VAR;07.08.1885 00:00;0.8;;
VAR;08.08.1885 00:00;0;;
VAR;09.08.1885 00:00;0;;
VAR;10.08.1885 00:00;0;;
VAR;11.08.1885 00:00;0;;
VAR;12.08.1885 00:00;0;;
VAR;13.08.1885 00:00;0;;
VAR;14.08.1885 00:00;0;;
VAR;15.08.1885 00:00;0;;
VAR;16.08.1885 00:00;0;;
VAR;17.08.1885 00:00;0;;
VAR;18.08.1885 00:00;0;;
VAR;19.08.1885 00:00;0;;
VAR;20.08.1885 00:00;0;;
VAR;21.08.1885 00:00;0;;
VAR;22.08.1885 00:00;0;;
VAR;23.08.1885 00:00;0;;
VAR;24.08.1885 00:00;0;;
VAR;25.08.1885 00:00;0;;
VAR;26.08.1885 00:00;0;;
VAR;27.08.1885 00:00;13.8;;
VAR;28.08.1885 00:00;19.2;;
VAR;29.08.1885 00:00;11.4;;
VAR;30.08.1885 00:00;1.6;;
VAR;31.08.1885 00:00;0;;
VAR;01.09.1885 00:00;0;;
VAR;02.09.1885 00:00;0;;
VAR;03.09.1885 00:00;7.2;;
VAR;04.09.1885 00:00;20.4;;
VAR;05.09.1885 00:00;0;;
VAR;06.09.1885 00:00;0;;
VAR;07.09.1885 00:00;22.2;;
VAR;08.09.1885 00:00;0;;
VAR;09.09.1885 00:00;0.6;;
VAR;10.09.1885 00:00;1.2;;
VAR;11.09.1885 00:00;15;;
VAR;12.09.1885 00:00;0;;
VAR;13.09.1885 00:00;0;;
VAR;14.09.1885 00:00;0;;
VAR;15.09.1885 00:00;0;;
VAR;16.09.1885 00:00;0;;
VAR;17.09.1885 00:00;0;;
VAR;18.09.1885 00:00;0;;
VAR;19.09.1885 00:00;0;;
VAR;20.09.1885 00:00;0;;
VAR;21.09.1885 00:00;0;;
VAR;22.09.1885 00:00;0;;
VAR;23.09.1885 00:00;0;;
VAR;24.09.1885 00:00;21.8;;
VAR;25.09.1885 00:00;5.8;;
VAR;26.09.1885 00:00;20;;
VAR;27.09.1885 00:00;33.6;;
VAR;28.09.1885 00:00;7.2;;
VAR;29.09.1885 00:00;7.2;;
VAR;30.09.1885 00:00;0;;
VAR;01.10.1885 00:00;5.2;;
VAR;02.10.1885 00:00;0;;
VAR;03.10.1885 00:00;0;;
VAR;04.10.1885 00:00;1.6;;
VAR;05.10.1885 00:00;0;;
VAR;06.10.1885 00:00;0;;
VAR;07.10.1885 00:00;7.2;;
VAR;08.10.1885 00:00;1.8;;
VAR;09.10.1885 00:00;13.6;;
VAR;10.10.1885 00:00;13.2;;
VAR;11.10.1885 00:00;3.4;;
VAR;12.10.1885 00:00;0.2;;
VAR;13.10.1885 00:00;0;;
VAR;14.10.1885 00:00;1.2;;
VAR;15.10.1885 00:00;2.6;;
VAR;16.10.1885 00:00;0;;
VAR;17.10.1885 00:00;1.2;;
VAR;18.10.1885 00:00;0;;
VAR;19.10.1885 00:00;19.2;;
VAR;20.10.1885 00:00;7.6;;
VAR;21.10.1885 00:00;0.6;;
VAR;22.10.1885 00:00;9.6;;
VAR;23.10.1885 00:00;0;;
VAR;24.10.1885 00:00;15.6;;
VAR;25.10.1885 00:00;8.8;;
VAR;26.10.1885 00:00;3.6;;
VAR;27.10.1885 00:00;13;;
VAR;28.10.1885 00:00;14;;
VAR;29.10.1885 00:00;7.2;;
VAR;30.10.1885 00:00;3;;
VAR;31.10.1885 00:00;10.3;;
VAR;01.11.1885 00:00;0;;
VAR;02.11.1885 00:00;0;;
VAR;03.11.1885 00:00;0;;
VAR;04.11.1885 00:00;0.6;;
VAR;05.11.1885 00:00;3;;
VAR;06.11.1885 00:00;0;;
VAR;07.11.1885 00:00;0;;
VAR;08.11.1885 00:00;0;;
VAR;09.11.1885 00:00;0;;
VAR;10.11.1885 00:00;0;;
VAR;11.11.1885 00:00;0;;
VAR;12.11.1885 00:00;0;;
VAR;13.11.1885 00:00;4;;
VAR;14.11.1885 00:00;2.6;;
VAR;15.11.1885 00:00;0;;
VAR;16.11.1885 00:00;0;;
VAR;17.11.1885 00:00;4.4;;
VAR;18.11.1885 00:00;0.2;;
VAR;19.11.1885 00:00;0;;
VAR;20.11.1885 00:00;1;;
VAR;21.11.1885 00:00;1;;
VAR;22.11.1885 00:00;0;;
VAR;23.11.1885 00:00;0;;
VAR;24.11.1885 00:00;0;;
VAR;25.11.1885 00:00;6;;
VAR;26.11.1885 00:00;0.8;;
VAR;27.11.1885 00:00;0.2;;
VAR;28.11.1885 00:00;6.6;;
VAR;29.11.1885 00:00;12.2;;
VAR;30.11.1885 00:00;1.6;;
VAR;01.12.1885 00:00;0;;
VAR;02.12.1885 00:00;0;;
VAR;03.12.1885 00:00;0;;
VAR;04.12.1885 00:00;1;;
VAR;05.12.1885 00:00;2;;
VAR;06.12.1885 00:00;1.4;;
VAR;07.12.1885 00:00;0.2;;
VAR;08.12.1885 00:00;5;;
VAR;09.12.1885 00:00;0;;
VAR;10.12.1885 00:00;0.4;;
VAR;11.12.1885 00:00;0.2;;
VAR;12.12.1885 00:00;0;;
VAR;13.12.1885 00:00;0;;
VAR;14.12.1885 00:00;0;;
VAR;15.12.1885 00:00;0;;
VAR;16.12.1885 00:00;0;;
VAR;17.12.1885 00:00;0;;
VAR;18.12.1885 00:00;0;;
VAR;19.12.1885 00:00;0;;
VAR;20.12.1885 00:00;0;;
VAR;21.12.1885 00:00;0;;
VAR;22.12.1885 00:00;0;;
VAR;23.12.1885 00:00;6.6;;
VAR;24.12.1885 00:00;0;;
VAR;25.12.1885 00:00;0;;
VAR;26.12.1885 00:00;0;;
VAR;27.12.1885 00:00;0;;
VAR;28.12.1885 00:00;0;;
VAR;29.12.1885 00:00;2.2;;
VAR;30.12.1885 00:00;0;;
VAR;31.12.1885 00:00;0.8;;
VAR;01.01.1886 00:00;0;;
VAR;02.01.1886 00:00;3;;
VAR;03.01.1886 00:00;0;;
VAR;04.01.1886 00:00;0;;
VAR;05.01.1886 00:00;3;;
VAR;06.01.1886 00:00;0;;
VAR;07.01.1886 00:00;7;;
VAR;08.01.1886 00:00;0;;
VAR;09.01.1886 00:00;0.2;;
VAR;10.01.1886 00:00;0;;
VAR;11.01.1886 00:00;0;;
VAR;12.01.1886 00:00;0.2;;
VAR;13.01.1886 00:00;3.8;;
VAR;14.01.1886 00:00;0;;
VAR;15.01.1886 00:00;0;;
VAR;16.01.1886 00:00;1.2;;
VAR;17.01.1886 00:00;0;;
VAR;18.01.1886 00:00;5.4;;
VAR;19.01.1886 00:00;3.4;;
VAR;20.01.1886 00:00;0.2;;
VAR;21.01.1886 00:00;12;;
VAR;22.01.1886 00:00;0;;
VAR;23.01.1886 00:00;0;;
VAR;24.01.1886 00:00;5.8;;
VAR;25.01.1886 00:00;2;;
VAR;26.01.1886 00:00;13.6;;
VAR;27.01.1886 00:00;0.4;;
VAR;28.01.1886 00:00;0;;
VAR;29.01.1886 00:00;0.4;;
VAR;30.01.1886 00:00;0.4;;
VAR;31.01.1886 00:00;12;;
VAR;01.02.1886 00:00;13.2;;
VAR;02.02.1886 00:00;4.4;;
VAR;03.02.1886 00:00;3.4;;
VAR;04.02.1886 00:00;0;;
VAR;05.02.1886 00:00;0;;
VAR;06.02.1886 00:00;0;;
VAR;07.02.1886 00:00;0;;
VAR;08.02.1886 00:00;0;;
VAR;09.02.1886 00:00;0;;
VAR;10.02.1886 00:00;0;;
VAR;11.02.1886 00:00;0;;
VAR;12.02.1886 00:00;1.4;;
VAR;13.02.1886 00:00;0;;
VAR;14.02.1886 00:00;0;;
VAR;15.02.1886 00:00;0;;
VAR;16.02.1886 00:00;0;;
VAR;17.02.1886 00:00;0;;
VAR;18.02.1886 00:00;0;;
VAR;19.02.1886 00:00;0;;
VAR;20.02.1886 00:00;0;;
VAR;21.02.1886 00:00;0;;
VAR;22.02.1886 00:00;0;;
VAR;23.02.1886 00:00;0;;
VAR;24.02.1886 00:00;0;;
VAR;25.02.1886 00:00;0;;
VAR;26.02.1886 00:00;0;;
VAR;27.02.1886 00:00;0;;
VAR;28.02.1886 00:00;0;;
VAR;01.03.1886 00:00;5.6;;
VAR;02.03.1886 00:00;12.8;;
VAR;03.03.1886 00:00;4.4;;
VAR;04.03.1886 00:00;0;;
VAR;05.03.1886 00:00;12.2;;
VAR;06.03.1886 00:00;2;;
VAR;07.03.1886 00:00;0;;
VAR;08.03.1886 00:00;0;;
VAR;09.03.1886 00:00;0;;
VAR;10.03.1886 00:00;0;;
VAR;11.03.1886 00:00;0;;
VAR;12.03.1886 00:00;0;;
VAR;13.03.1886 00:00;0;;
VAR;14.03.1886 00:00;0;;
VAR;15.03.1886 00:00;0;;
VAR;16.03.1886 00:00;0;;
VAR;17.03.1886 00:00;0;;
VAR;18.03.1886 00:00;0;;
VAR;19.03.1886 00:00;0;;
VAR;20.03.1886 00:00;0;;
VAR;21.03.1886 00:00;0.2;;
VAR;22.03.1886 00:00;0;;
VAR;23.03.1886 00:00;0;;
VAR;24.03.1886 00:00;0;;
VAR;25.03.1886 00:00;0.4;;
VAR;26.03.1886 00:00;2.6;;
VAR;27.03.1886 00:00;0;;
VAR;28.03.1886 00:00;0;;
VAR;29.03.1886 00:00;7.8;;
VAR;30.03.1886 00:00;0;;
VAR;31.03.1886 00:00;0;;
VAR;01.04.1886 00:00;0;;
VAR;02.04.1886 00:00;0;;
VAR;03.04.1886 00:00;0;;
VAR;04.04.1886 00:00;3.4;;
VAR;05.04.1886 00:00;0;;
VAR;06.04.1886 00:00;7.6;;
VAR;07.04.1886 00:00;0;;
VAR;08.04.1886 00:00;3.8;;
VAR;09.04.1886 00:00;5.8;;
VAR;10.04.1886 00:00;0;;
VAR;11.04.1886 00:00;2.8;;
VAR;12.04.1886 00:00;0;;
VAR;13.04.1886 00:00;0;;
VAR;14.04.1886 00:00;0.4;;
VAR;15.04.1886 00:00;1;;
VAR;16.04.1886 00:00;0;;
VAR;17.04.1886 00:00;0;;
VAR;18.04.1886 00:00;0;;
VAR;19.04.1886 00:00;0;;
VAR;20.04.1886 00:00;0;;
VAR;21.04.1886 00:00;1.4;;
VAR;22.04.1886 00:00;0;;
VAR;23.04.1886 00:00;0;;
VAR;24.04.1886 00:00;0;;
VAR;25.04.1886 00:00;0;;
VAR;26.04.1886 00:00;0;;
VAR;27.04.1886 00:00;0;;
VAR;28.04.1886 00:00;0;;
VAR;29.04.1886 00:00;4.2;;
VAR;30.04.1886 00:00;31.6;;
VAR;01.05.1886 00:00;2;;
VAR;02.05.1886 00:00;0;;
VAR;03.05.1886 00:00;0;;
VAR;04.05.1886 00:00;0;;
VAR;05.05.1886 00:00;0;;
VAR;06.05.1886 00:00;0;;
VAR;07.05.1886 00:00;0;;
VAR;08.05.1886 00:00;0;;
VAR;09.05.1886 00:00;0;;
VAR;10.05.1886 00:00;9;;
VAR;11.05.1886 00:00;0.6;;
VAR;12.05.1886 00:00;7;;
VAR;13.05.1886 00:00;32;;
VAR;14.05.1886 00:00;0.4;;
VAR;15.05.1886 00:00;2.8;;
VAR;16.05.1886 00:00;0;;
VAR;17.05.1886 00:00;0;;
VAR;18.05.1886 00:00;0;;
VAR;19.05.1886 00:00;0;;
VAR;20.05.1886 00:00;0;;
VAR;21.05.1886 00:00;0;;
VAR;22.05.1886 00:00;0;;
VAR;23.05.1886 00:00;0.8;;
VAR;24.05.1886 00:00;4;;
VAR;25.05.1886 00:00;0;;
VAR;26.05.1886 00:00;0;;
VAR;27.05.1886 00:00;2.2;;
VAR;28.05.1886 00:00;0;;
VAR;29.05.1886 00:00;8.6;;
VAR;30.05.1886 00:00;5.2;;
VAR;31.05.1886 00:00;0;;
VAR;01.06.1886 00:00;0;;
VAR;02.06.1886 00:00;2.8;;
VAR;03.06.1886 00:00;8.6;;
VAR;04.06.1886 00:00;16.8;;
VAR;05.06.1886 00:00;13.8;;
VAR;06.06.1886 00:00;0;;
VAR;07.06.1886 00:00;6;;
VAR;08.06.1886 00:00;12.4;;
VAR;09.06.1886 00:00;0.2;;
VAR;10.06.1886 00:00;0.8;;
VAR;11.06.1886 00:00;7.2;;
VAR;12.06.1886 00:00;7;;
VAR;13.06.1886 00:00;0;;
VAR;14.06.1886 00:00;0;;
VAR;15.06.1886 00:00;0;;
VAR;16.06.1886 00:00;0;;
VAR;17.06.1886 00:00;0;;
VAR;18.06.1886 00:00;0;;
VAR;19.06.1886 00:00;4.4;;
VAR;20.06.1886 00:00;6.6;;
VAR;21.06.1886 00:00;0.4;;
VAR;22.06.1886 00:00;0.4;;
VAR;23.06.1886 00:00;1;;
VAR;24.06.1886 00:00;0;;
VAR;25.06.1886 00:00;0;;
VAR;26.06.1886 00:00;24.2;;
VAR;27.06.1886 00:00;0.6;;
VAR;28.06.1886 00:00;1.4;;
VAR;29.06.1886 00:00;9.6;;
VAR;30.06.1886 00:00;0;;
VAR;01.07.1886 00:00;0;;
VAR;02.07.1886 00:00;0;;
VAR;03.07.1886 00:00;0;;
VAR;04.07.1886 00:00;0;;
VAR;05.07.1886 00:00;0;;
VAR;06.07.1886 00:00;0;;
VAR;07.07.1886 00:00;0;;
VAR;08.07.1886 00:00;6.6;;
VAR;09.07.1886 00:00;8.6;;
VAR;10.07.1886 00:00;0;;
VAR;11.07.1886 00:00;0;;
VAR;12.07.1886 00:00;0;;
VAR;13.07.1886 00:00;0;;
VAR;14.07.1886 00:00;14.4;;
VAR;15.07.1886 00:00;0;;
VAR;16.07.1886 00:00;0;;
VAR;17.07.1886 00:00;0;;
VAR;18.07.1886 00:00;0;;
VAR;19.07.1886 00:00;0;;
VAR;20.07.1886 00:00;0;;
VAR;21.07.1886 00:00;0;;
VAR;22.07.1886 00:00;2.6;;
VAR;23.07.1886 00:00;0;;
VAR;24.07.1886 00:00;0;;
VAR;25.07.1886 00:00;0;;
VAR;26.07.1886 00:00;28.8;;
VAR;27.07.1886 00:00;10.2;;
VAR;28.07.1886 00:00;1.8;;
VAR;29.07.1886 00:00;0;;
VAR;30.07.1886 00:00;0;;
VAR;31.07.1886 00:00;8.4;;
VAR;01.08.1886 00:00;7.8;;
VAR;02.08.1886 00:00;2.6;;
VAR;03.08.1886 00:00;0.6;;
VAR;04.08.1886 00:00;9.8;;
VAR;05.08.1886 00:00;0.2;;
VAR;06.08.1886 00:00;0;;
VAR;07.08.1886 00:00;0;;
VAR;08.08.1886 00:00;0;;
VAR;09.08.1886 00:00;3.4;;
VAR;10.08.1886 00:00;18.4;;
VAR;11.08.1886 00:00;15.2;;
VAR;12.08.1886 00:00;0;;
VAR;13.08.1886 00:00;1.2;;
VAR;14.08.1886 00:00;1;;
VAR;15.08.1886 00:00;0;;
VAR;16.08.1886 00:00;0;;
VAR;17.08.1886 00:00;3.6;;
VAR;18.08.1886 00:00;3.6;;
VAR;19.08.1886 00:00;0.2;;
VAR;20.08.1886 00:00;0;;
VAR;21.08.1886 00:00;0;;
VAR;22.08.1886 00:00;5.2;;
VAR;23.08.1886 00:00;2.6;;
VAR;24.08.1886 00:00;0.2;;
VAR;25.08.1886 00:00;7.2;;
VAR;26.08.1886 00:00;0;;
VAR;27.08.1886 00:00;0;;
VAR;28.08.1886 00:00;0;;
VAR;29.08.1886 00:00;0;;
VAR;30.08.1886 00:00;0;;
VAR;31.08.1886 00:00;0;;
VAR;01.09.1886 00:00;0;;
VAR;02.09.1886 00:00;4;;
VAR;03.09.1886 00:00;5;;
VAR;04.09.1886 00:00;0;;
VAR;05.09.1886 00:00;0;;
VAR;06.09.1886 00:00;0;;
VAR;07.09.1886 00:00;2.6;;
VAR;08.09.1886 00:00;2;;
VAR;09.09.1886 00:00;0;;
VAR;10.09.1886 00:00;0;;
VAR;11.09.1886 00:00;0.4;;
VAR;12.09.1886 00:00;0;;
VAR;13.09.1886 00:00;0;;
VAR;14.09.1886 00:00;0;;
VAR;15.09.1886 00:00;0;;
VAR;16.09.1886 00:00;0;;
VAR;17.09.1886 00:00;0;;
VAR;18.09.1886 00:00;0;;
VAR;19.09.1886 00:00;0;;
VAR;20.09.1886 00:00;12.2;;
VAR;21.09.1886 00:00;0.2;;
VAR;22.09.1886 00:00;2.4;;
VAR;23.09.1886 00:00;5.2;;
VAR;24.09.1886 00:00;4;;
VAR;25.09.1886 00:00;0;;
VAR;26.09.1886 00:00;0.6;;
VAR;27.09.1886 00:00;0;;
VAR;28.09.1886 00:00;0;;
VAR;29.09.1886 00:00;0;;
VAR;30.09.1886 00:00;0;;
VAR;01.10.1886 00:00;0;;
VAR;02.10.1886 00:00;0;;
VAR;03.10.1886 00:00;0;;
VAR;04.10.1886 00:00;0;;
VAR;05.10.1886 00:00;2;;
VAR;06.10.1886 00:00;2;;
VAR;07.10.1886 00:00;5.8;;
VAR;08.10.1886 00:00;0;;
VAR;09.10.1886 00:00;6.6;;
VAR;10.10.1886 00:00;0.8;;
VAR;11.10.1886 00:00;2.6;;
VAR;12.10.1886 00:00;9;;
VAR;13.10.1886 00:00;19.6;;
VAR;14.10.1886 00:00;3.6;;
VAR;15.10.1886 00:00;12.8;;
VAR;16.10.1886 00:00;13.8;;
VAR;17.10.1886 00:00;2.6;;
VAR;18.10.1886 00:00;0;;
VAR;19.10.1886 00:00;16.8;;
VAR;20.10.1886 00:00;11;;
VAR;21.10.1886 00:00;14;;
VAR;22.10.1886 00:00;2;;
VAR;23.10.1886 00:00;0;;
VAR;24.10.1886 00:00;0;;
VAR;25.10.1886 00:00;0;;
VAR;26.10.1886 00:00;0;;
VAR;27.10.1886 00:00;0;;
VAR;28.10.1886 00:00;0;;
VAR;29.10.1886 00:00;0;;
VAR;30.10.1886 00:00;0;;
VAR;31.10.1886 00:00;0;;
VAR;01.11.1886 00:00;0;;
VAR;02.11.1886 00:00;0;;
VAR;03.11.1886 00:00;7.4;;
VAR;04.11.1886 00:00;0.6;;
VAR;05.11.1886 00:00;0;;
VAR;06.11.1886 00:00;0.6;;
VAR;07.11.1886 00:00;51.4;;
VAR;08.11.1886 00:00;17.2;;
VAR;09.11.1886 00:00;0;;
VAR;10.11.1886 00:00;10;;
VAR;11.11.1886 00:00;6.6;;
VAR;12.11.1886 00:00;0;;
VAR;13.11.1886 00:00;0;;
VAR;14.11.1886 00:00;1.2;;
VAR;15.11.1886 00:00;0;;
