station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SCE;17.08.1917 00:00;0;;
SCE;18.08.1917 00:00;0;;
SCE;19.08.1917 00:00;25.2;;
SCE;20.08.1917 00:00;10;;
SCE;21.08.1917 00:00;0;;
SCE;22.08.1917 00:00;0;;
SCE;23.08.1917 00:00;13.5;;
SCE;24.08.1917 00:00;1.5;;
SCE;25.08.1917 00:00;0;;
SCE;26.08.1917 00:00;17.5;;
SCE;27.08.1917 00:00;0;;
SCE;28.08.1917 00:00;17.5;;
SCE;29.08.1917 00:00;2.5;;
SCE;30.08.1917 00:00;0;;
SCE;31.08.1917 00:00;0;;
SCE;01.09.1917 00:00;0;;
SCE;02.09.1917 00:00;0;;
SCE;03.09.1917 00:00;0;;
SCE;04.09.1917 00:00;0;;
SCE;05.09.1917 00:00;0;;
SCE;06.09.1917 00:00;0;;
SCE;07.09.1917 00:00;0;;
SCE;08.09.1917 00:00;0;;
SCE;09.09.1917 00:00;1.5;;
SCE;10.09.1917 00:00;0;;
SCE;11.09.1917 00:00;5.5;;
SCE;12.09.1917 00:00;36.5;;
SCE;13.09.1917 00:00;0;;
SCE;14.09.1917 00:00;0;;
SCE;15.09.1917 00:00;0;;
SCE;16.09.1917 00:00;0;;
SCE;17.09.1917 00:00;0;;
SCE;18.09.1917 00:00;0;;
SCE;19.09.1917 00:00;0;;
SCE;20.09.1917 00:00;2;;
SCE;21.09.1917 00:00;0;;
SCE;22.09.1917 00:00;0;;
SCE;23.09.1917 00:00;0;;
SCE;24.09.1917 00:00;2.2;;
SCE;25.09.1917 00:00;0;;
SCE;26.09.1917 00:00;0;;
SCE;27.09.1917 00:00;0;;
SCE;28.09.1917 00:00;0;;
SCE;29.09.1917 00:00;0;;
SCE;30.09.1917 00:00;0;;
SCE;01.10.1917 00:00;0;;
SCE;02.10.1917 00:00;0;;
SCE;03.10.1917 00:00;0;;
SCE;04.10.1917 00:00;0;;
SCE;05.10.1917 00:00;16;;
SCE;06.10.1917 00:00;8.5;;
SCE;07.10.1917 00:00;7;;
SCE;08.10.1917 00:00;6.5;;
SCE;09.10.1917 00:00;3;;
SCE;10.10.1917 00:00;15;;
SCE;11.10.1917 00:00;20.5;;
SCE;12.10.1917 00:00;3.2;;
SCE;13.10.1917 00:00;14.5;;
SCE;14.10.1917 00:00;0;;
SCE;15.10.1917 00:00;4.5;;
SCE;16.10.1917 00:00;0;;
SCE;17.10.1917 00:00;0;;
SCE;18.10.1917 00:00;6;;
SCE;19.10.1917 00:00;14;;
SCE;20.10.1917 00:00;0;;
SCE;21.10.1917 00:00;0;;
SCE;22.10.1917 00:00;0;;
SCE;23.10.1917 00:00;6;;
SCE;24.10.1917 00:00;7;;
SCE;25.10.1917 00:00;2.5;;
SCE;26.10.1917 00:00;0;;
SCE;27.10.1917 00:00;9.5;;
SCE;28.10.1917 00:00;8.2;;
SCE;29.10.1917 00:00;0;;
SCE;30.10.1917 00:00;0;;
SCE;31.10.1917 00:00;0;;
SCE;01.11.1917 00:00;0;;
SCE;02.11.1917 00:00;0;;
SCE;03.11.1917 00:00;0;;
SCE;04.11.1917 00:00;0;;
SCE;05.11.1917 00:00;0;;
SCE;06.11.1917 00:00;0;;
SCE;07.11.1917 00:00;10;;
SCE;08.11.1917 00:00;6;;
SCE;09.11.1917 00:00;11;;
SCE;10.11.1917 00:00;1;;
SCE;11.11.1917 00:00;0;;
SCE;12.11.1917 00:00;0;;
SCE;13.11.1917 00:00;0;;
SCE;14.11.1917 00:00;0;;
SCE;15.11.1917 00:00;2;;
SCE;16.11.1917 00:00;0;;
SCE;17.11.1917 00:00;0;;
SCE;18.11.1917 00:00;0;;
SCE;19.11.1917 00:00;0;;
SCE;20.11.1917 00:00;0;;
SCE;21.11.1917 00:00;38.5;;
SCE;22.11.1917 00:00;0;;
SCE;23.11.1917 00:00;0;;
SCE;24.11.1917 00:00;0;;
SCE;25.11.1917 00:00;26.5;;
SCE;26.11.1917 00:00;4;;
SCE;27.11.1917 00:00;5;;
SCE;28.11.1917 00:00;0;;
SCE;29.11.1917 00:00;0;;
SCE;30.11.1917 00:00;0;;
SCE;01.12.1917 00:00;0;;
SCE;02.12.1917 00:00;11.5;;
SCE;03.12.1917 00:00;2;;
SCE;04.12.1917 00:00;1;;
SCE;05.12.1917 00:00;0;;
SCE;06.12.1917 00:00;0;;
SCE;07.12.1917 00:00;0;;
SCE;08.12.1917 00:00;0;;
SCE;09.12.1917 00:00;0;;
SCE;10.12.1917 00:00;0;;
SCE;11.12.1917 00:00;0;;
SCE;12.12.1917 00:00;0;;
SCE;13.12.1917 00:00;0;;
SCE;14.12.1917 00:00;0;;
SCE;15.12.1917 00:00;3;;
SCE;16.12.1917 00:00;0;;
SCE;17.12.1917 00:00;0;;
SCE;18.12.1917 00:00;0;;
SCE;19.12.1917 00:00;0;;
SCE;20.12.1917 00:00;0;;
SCE;21.12.1917 00:00;0;;
SCE;22.12.1917 00:00;0;;
SCE;23.12.1917 00:00;0;;
SCE;24.12.1917 00:00;1;;
SCE;25.12.1917 00:00;13.5;;
SCE;26.12.1917 00:00;7;;
SCE;27.12.1917 00:00;1;;
SCE;28.12.1917 00:00;0;;
SCE;29.12.1917 00:00;0;;
SCE;30.12.1917 00:00;0;;
SCE;31.12.1917 00:00;0;;
SCE;01.01.1918 00:00;0;;
SCE;02.01.1918 00:00;0;;
SCE;03.01.1918 00:00;1.5;;
SCE;04.01.1918 00:00;0;;
SCE;05.01.1918 00:00;0;;
SCE;06.01.1918 00:00;0;;
SCE;07.01.1918 00:00;4.5;;
SCE;08.01.1918 00:00;13.5;;
SCE;09.01.1918 00:00;2.2;;
SCE;10.01.1918 00:00;1;;
SCE;11.01.1918 00:00;0;;
SCE;12.01.1918 00:00;3.5;;
SCE;13.01.1918 00:00;2;;
SCE;14.01.1918 00:00;0;;
SCE;15.01.1918 00:00;2.5;;
SCE;16.01.1918 00:00;3;;
SCE;17.01.1918 00:00;0;;
SCE;18.01.1918 00:00;0;;
SCE;19.01.1918 00:00;0;;
SCE;20.01.1918 00:00;0;;
SCE;21.01.1918 00:00;0;;
SCE;22.01.1918 00:00;0;;
SCE;23.01.1918 00:00;0;;
SCE;24.01.1918 00:00;0;;
SCE;25.01.1918 00:00;0;;
SCE;26.01.1918 00:00;0;;
SCE;27.01.1918 00:00;0;;
SCE;28.01.1918 00:00;0;;
SCE;29.01.1918 00:00;0;;
SCE;30.01.1918 00:00;0;;
SCE;31.01.1918 00:00;0;;
SCE;01.02.1918 00:00;0;;
SCE;02.02.1918 00:00;0;;
SCE;03.02.1918 00:00;0;;
SCE;04.02.1918 00:00;0;;
SCE;05.02.1918 00:00;0;;
SCE;06.02.1918 00:00;0;;
SCE;07.02.1918 00:00;0;;
SCE;08.02.1918 00:00;0;;
SCE;09.02.1918 00:00;0;;
SCE;10.02.1918 00:00;0;;
SCE;11.02.1918 00:00;0;;
SCE;12.02.1918 00:00;0;;
SCE;13.02.1918 00:00;8;;
SCE;14.02.1918 00:00;2.5;;
SCE;15.02.1918 00:00;0;;
SCE;16.02.1918 00:00;0;;
SCE;17.02.1918 00:00;0;;
SCE;18.02.1918 00:00;0;;
SCE;19.02.1918 00:00;0;;
SCE;20.02.1918 00:00;0;;
SCE;21.02.1918 00:00;3.3;;
SCE;22.02.1918 00:00;4;;
SCE;23.02.1918 00:00;0;;
SCE;24.02.1918 00:00;0;;
SCE;25.02.1918 00:00;7;;
SCE;26.02.1918 00:00;0;;
SCE;27.02.1918 00:00;0;;
SCE;28.02.1918 00:00;16.5;;
SCE;01.03.1918 00:00;7;;
SCE;02.03.1918 00:00;33;;
SCE;03.03.1918 00:00;4;;
SCE;04.03.1918 00:00;0;;
SCE;05.03.1918 00:00;0;;
SCE;06.03.1918 00:00;0;;
SCE;07.03.1918 00:00;0;;
SCE;08.03.1918 00:00;0;;
SCE;09.03.1918 00:00;0;;
SCE;10.03.1918 00:00;0;;
SCE;11.03.1918 00:00;0;;
SCE;12.03.1918 00:00;0;;
SCE;13.03.1918 00:00;0;;
SCE;14.03.1918 00:00;2;;
SCE;15.03.1918 00:00;0;;
SCE;16.03.1918 00:00;0;;
SCE;17.03.1918 00:00;0;;
SCE;18.03.1918 00:00;0;;
SCE;19.03.1918 00:00;1.5;;
SCE;20.03.1918 00:00;0;;
SCE;21.03.1918 00:00;0;;
SCE;22.03.1918 00:00;0;;
SCE;23.03.1918 00:00;0;;
SCE;24.03.1918 00:00;0;;
SCE;25.03.1918 00:00;0;;
SCE;26.03.1918 00:00;2;;
SCE;27.03.1918 00:00;0;;
SCE;28.03.1918 00:00;0;;
SCE;29.03.1918 00:00;1.7;;
SCE;30.03.1918 00:00;4;;
SCE;31.03.1918 00:00;0;;
SCE;01.04.1918 00:00;1.5;;
SCE;02.04.1918 00:00;2;;
SCE;03.04.1918 00:00;0;;
SCE;04.04.1918 00:00;0;;
SCE;05.04.1918 00:00;12;;
SCE;06.04.1918 00:00;1.5;;
SCE;07.04.1918 00:00;6.5;;
SCE;08.04.1918 00:00;0;;
SCE;09.04.1918 00:00;0;;
SCE;10.04.1918 00:00;1.5;;
SCE;11.04.1918 00:00;0;;
SCE;12.04.1918 00:00;0;;
SCE;13.04.1918 00:00;0;;
SCE;14.04.1918 00:00;0;;
SCE;15.04.1918 00:00;9.5;;
SCE;16.04.1918 00:00;4;;
SCE;17.04.1918 00:00;0;;
SCE;18.04.1918 00:00;10;;
SCE;19.04.1918 00:00;5.2;;
SCE;20.04.1918 00:00;1;;
SCE;21.04.1918 00:00;10.5;;
SCE;22.04.1918 00:00;2;;
SCE;23.04.1918 00:00;0;;
SCE;24.04.1918 00:00;0;;
SCE;25.04.1918 00:00;0;;
SCE;26.04.1918 00:00;0;;
SCE;27.04.1918 00:00;1;;
SCE;28.04.1918 00:00;3.5;;
SCE;29.04.1918 00:00;6.5;;
SCE;30.04.1918 00:00;27;;
SCE;01.05.1918 00:00;4.3;;
SCE;02.05.1918 00:00;0;;
SCE;03.05.1918 00:00;0;;
SCE;04.05.1918 00:00;0;;
SCE;05.05.1918 00:00;0;;
SCE;06.05.1918 00:00;0;;
SCE;07.05.1918 00:00;11.5;;
SCE;08.05.1918 00:00;0;;
SCE;09.05.1918 00:00;0;;
SCE;10.05.1918 00:00;0;;
SCE;11.05.1918 00:00;12.1;;
SCE;12.05.1918 00:00;0.7;;
SCE;13.05.1918 00:00;0;;
SCE;14.05.1918 00:00;12.9;;
SCE;15.05.1918 00:00;0;;
SCE;16.05.1918 00:00;0;;
SCE;17.05.1918 00:00;0;;
SCE;18.05.1918 00:00;4;;
SCE;19.05.1918 00:00;0;;
SCE;20.05.1918 00:00;1.3;;
SCE;21.05.1918 00:00;0;;
SCE;22.05.1918 00:00;0;;
SCE;23.05.1918 00:00;11.3;;
SCE;24.05.1918 00:00;3.5;;
SCE;25.05.1918 00:00;0;;
SCE;26.05.1918 00:00;0;;
SCE;27.05.1918 00:00;0;;
SCE;28.05.1918 00:00;0;;
SCE;29.05.1918 00:00;0;;
SCE;30.05.1918 00:00;0;;
SCE;31.05.1918 00:00;0;;
SCE;01.06.1918 00:00;0;;
SCE;02.06.1918 00:00;0;;
SCE;03.06.1918 00:00;0;;
SCE;04.06.1918 00:00;0;;
SCE;05.06.1918 00:00;0;;
SCE;06.06.1918 00:00;0;;
SCE;07.06.1918 00:00;0;;
SCE;08.06.1918 00:00;0;;
SCE;09.06.1918 00:00;0;;
SCE;10.06.1918 00:00;36.5;;
SCE;11.06.1918 00:00;6.5;;
SCE;12.06.1918 00:00;7.3;;
SCE;13.06.1918 00:00;0;;
SCE;14.06.1918 00:00;0;;
SCE;15.06.1918 00:00;19;;
SCE;16.06.1918 00:00;15;;
SCE;17.06.1918 00:00;14;;
SCE;18.06.1918 00:00;2;;
SCE;19.06.1918 00:00;6;;
SCE;20.06.1918 00:00;24.5;;
SCE;21.06.1918 00:00;22;;
SCE;22.06.1918 00:00;0.7;;
SCE;23.06.1918 00:00;2;;
SCE;24.06.1918 00:00;0;;
SCE;25.06.1918 00:00;0;;
SCE;26.06.1918 00:00;5;;
SCE;27.06.1918 00:00;13;;
SCE;28.06.1918 00:00;4;;
SCE;29.06.1918 00:00;0;;
SCE;30.06.1918 00:00;0;;
SCE;01.07.1918 00:00;0;;
SCE;02.07.1918 00:00;0;;
SCE;03.07.1918 00:00;6;;
SCE;04.07.1918 00:00;1.5;;
SCE;05.07.1918 00:00;0;;
SCE;06.07.1918 00:00;0;;
SCE;07.07.1918 00:00;0;;
SCE;08.07.1918 00:00;0;;
SCE;09.07.1918 00:00;18.5;;
SCE;10.07.1918 00:00;20;;
SCE;11.07.1918 00:00;0;;
SCE;12.07.1918 00:00;0;;
SCE;13.07.1918 00:00;0;;
SCE;14.07.1918 00:00;0;;
SCE;15.07.1918 00:00;0;;
SCE;16.07.1918 00:00;0;;
SCE;17.07.1918 00:00;0;;
SCE;18.07.1918 00:00;0;;
SCE;19.07.1918 00:00;0;;
SCE;20.07.1918 00:00;0;;
SCE;21.07.1918 00:00;0;;
SCE;22.07.1918 00:00;0;;
SCE;23.07.1918 00:00;2;;
SCE;24.07.1918 00:00;0;;
SCE;25.07.1918 00:00;0;;
SCE;26.07.1918 00:00;6;;
SCE;27.07.1918 00:00;11;;
SCE;28.07.1918 00:00;11;;
SCE;29.07.1918 00:00;0;;
SCE;30.07.1918 00:00;0;;
SCE;31.07.1918 00:00;0;;
SCE;01.08.1918 00:00;0;;
SCE;02.08.1918 00:00;37;;
SCE;03.08.1918 00:00;10;;
SCE;04.08.1918 00:00;7;;
SCE;05.08.1918 00:00;0;;
SCE;06.08.1918 00:00;20.5;;
SCE;07.08.1918 00:00;5.5;;
SCE;08.08.1918 00:00;0;;
SCE;09.08.1918 00:00;7.4;;
SCE;10.08.1918 00:00;2;;
SCE;11.08.1918 00:00;0;;
SCE;12.08.1918 00:00;0;;
SCE;13.08.1918 00:00;0;;
SCE;14.08.1918 00:00;0;;
SCE;15.08.1918 00:00;0;;
SCE;16.08.1918 00:00;0;;
SCE;17.08.1918 00:00;0;;
SCE;18.08.1918 00:00;0;;
SCE;19.08.1918 00:00;0;;
SCE;20.08.1918 00:00;0;;
SCE;21.08.1918 00:00;0;;
SCE;22.08.1918 00:00;0;;
SCE;23.08.1918 00:00;3;;
SCE;24.08.1918 00:00;13;;
SCE;25.08.1918 00:00;4;;
SCE;26.08.1918 00:00;0;;
SCE;27.08.1918 00:00;0;;
SCE;28.08.1918 00:00;0;;
SCE;29.08.1918 00:00;4.2;;
SCE;30.08.1918 00:00;0;;
SCE;31.08.1918 00:00;0;;
SCE;01.09.1918 00:00;15.5;;
SCE;02.09.1918 00:00;5;;
SCE;03.09.1918 00:00;0;;
SCE;04.09.1918 00:00;0;;
SCE;05.09.1918 00:00;8.5;;
SCE;06.09.1918 00:00;13.5;;
SCE;07.09.1918 00:00;6;;
SCE;08.09.1918 00:00;15.5;;
SCE;09.09.1918 00:00;7.4;;
SCE;10.09.1918 00:00;38;;
SCE;11.09.1918 00:00;7;;
SCE;12.09.1918 00:00;11;;
SCE;13.09.1918 00:00;0;;
SCE;14.09.1918 00:00;0;;
SCE;15.09.1918 00:00;0;;
SCE;16.09.1918 00:00;0;;
SCE;17.09.1918 00:00;0;;
SCE;18.09.1918 00:00;0;;
SCE;19.09.1918 00:00;11;;
SCE;20.09.1918 00:00;26;;
SCE;21.09.1918 00:00;0;;
SCE;22.09.1918 00:00;1.5;;
SCE;23.09.1918 00:00;15.2;;
SCE;24.09.1918 00:00;6.5;;
SCE;25.09.1918 00:00;0;;
SCE;26.09.1918 00:00;0;;
SCE;27.09.1918 00:00;0;;
SCE;28.09.1918 00:00;0;;
SCE;29.09.1918 00:00;0;;
SCE;30.09.1918 00:00;7.8;;
SCE;01.10.1918 00:00;0;;
SCE;02.10.1918 00:00;0;;
SCE;03.10.1918 00:00;0;;
SCE;04.10.1918 00:00;0;;
SCE;05.10.1918 00:00;0;;
SCE;06.10.1918 00:00;0;;
SCE;07.10.1918 00:00;5;;
SCE;08.10.1918 00:00;13.3;;
SCE;09.10.1918 00:00;2;;
SCE;10.10.1918 00:00;0;;
SCE;11.10.1918 00:00;0;;
SCE;12.10.1918 00:00;3;;
SCE;13.10.1918 00:00;0;;
SCE;14.10.1918 00:00;4.5;;
SCE;15.10.1918 00:00;33;;
SCE;16.10.1918 00:00;5.5;;
SCE;17.10.1918 00:00;0;;
SCE;18.10.1918 00:00;0;;
SCE;19.10.1918 00:00;0;;
SCE;20.10.1918 00:00;4.8;;
SCE;21.10.1918 00:00;0;;
SCE;22.10.1918 00:00;0;;
SCE;23.10.1918 00:00;0;;
SCE;24.10.1918 00:00;8.5;;
SCE;25.10.1918 00:00;0;;
SCE;26.10.1918 00:00;1.5;;
SCE;27.10.1918 00:00;0;;
SCE;28.10.1918 00:00;0;;
SCE;29.10.1918 00:00;0;;
SCE;30.10.1918 00:00;0;;
SCE;31.10.1918 00:00;0;;
SCE;01.11.1918 00:00;0;;
SCE;02.11.1918 00:00;0;;
SCE;03.11.1918 00:00;0;;
SCE;04.11.1918 00:00;0;;
SCE;05.11.1918 00:00;0;;
SCE;06.11.1918 00:00;0;;
SCE;07.11.1918 00:00;0;;
SCE;08.11.1918 00:00;0;;
SCE;09.11.1918 00:00;0;;
SCE;10.11.1918 00:00;0;;
SCE;11.11.1918 00:00;0;;
SCE;12.11.1918 00:00;0;;
SCE;13.11.1918 00:00;0;;
SCE;14.11.1918 00:00;0;;
SCE;15.11.1918 00:00;0;;
SCE;16.11.1918 00:00;0;;
SCE;17.11.1918 00:00;0;;
SCE;18.11.1918 00:00;0;;
SCE;19.11.1918 00:00;0;;
SCE;20.11.1918 00:00;0;;
SCE;21.11.1918 00:00;0;;
SCE;22.11.1918 00:00;0;;
SCE;23.11.1918 00:00;0;;
SCE;24.11.1918 00:00;0;;
SCE;25.11.1918 00:00;6;;
SCE;26.11.1918 00:00;4;;
SCE;27.11.1918 00:00;6;;
SCE;28.11.1918 00:00;15;;
SCE;29.11.1918 00:00;10;;
SCE;30.11.1918 00:00;3;;
SCE;01.12.1918 00:00;0;;
SCE;02.12.1918 00:00;0;;
SCE;03.12.1918 00:00;0;;
SCE;04.12.1918 00:00;0;;
SCE;05.12.1918 00:00;0;;
SCE;06.12.1918 00:00;0;;
SCE;07.12.1918 00:00;0;;
SCE;08.12.1918 00:00;0;;
SCE;09.12.1918 00:00;0;;
SCE;10.12.1918 00:00;0;;
SCE;11.12.1918 00:00;7.3;;
SCE;12.12.1918 00:00;10;;
SCE;13.12.1918 00:00;20;;
SCE;14.12.1918 00:00;0;;
SCE;15.12.1918 00:00;0;;
SCE;16.12.1918 00:00;0;;
SCE;17.12.1918 00:00;2;;
SCE;18.12.1918 00:00;3;;
SCE;19.12.1918 00:00;8;;
SCE;20.12.1918 00:00;9;;
SCE;21.12.1918 00:00;3;;
SCE;22.12.1918 00:00;32.7;;
SCE;23.12.1918 00:00;40;;
SCE;24.12.1918 00:00;8;;
SCE;25.12.1918 00:00;0;;
SCE;26.12.1918 00:00;0;;
SCE;27.12.1918 00:00;0;;
SCE;28.12.1918 00:00;9.6;;
SCE;29.12.1918 00:00;2;;
SCE;30.12.1918 00:00;15.2;;
SCE;31.12.1918 00:00;3.5;;
SCE;01.01.1919 00:00;0;;
SCE;02.01.1919 00:00;0;;
SCE;03.01.1919 00:00;0;;
SCE;04.01.1919 00:00;0;;
SCE;05.01.1919 00:00;4.3;;
SCE;06.01.1919 00:00;10.5;;
SCE;07.01.1919 00:00;0;;
SCE;08.01.1919 00:00;0;;
SCE;09.01.1919 00:00;0.9;;
SCE;10.01.1919 00:00;5.2;;
SCE;11.01.1919 00:00;0;;
SCE;12.01.1919 00:00;0.3;;
SCE;13.01.1919 00:00;0;;
SCE;14.01.1919 00:00;0;;
SCE;15.01.1919 00:00;0;;
SCE;16.01.1919 00:00;12.5;;
SCE;17.01.1919 00:00;9.3;;
SCE;18.01.1919 00:00;0;;
SCE;19.01.1919 00:00;0;;
SCE;20.01.1919 00:00;0;;
SCE;21.01.1919 00:00;0;;
SCE;22.01.1919 00:00;0;;
SCE;23.01.1919 00:00;0.5;;
SCE;24.01.1919 00:00;0;;
SCE;25.01.1919 00:00;0;;
SCE;26.01.1919 00:00;0;;
SCE;27.01.1919 00:00;5.8;;
SCE;28.01.1919 00:00;0;;
SCE;29.01.1919 00:00;1.7;;
SCE;30.01.1919 00:00;0.4;;
SCE;31.01.1919 00:00;0;;
SCE;01.02.1919 00:00;0;;
SCE;02.02.1919 00:00;0;;
SCE;03.02.1919 00:00;0;;
SCE;04.02.1919 00:00;0;;
SCE;05.02.1919 00:00;4;;
SCE;06.02.1919 00:00;2.9;;
SCE;07.02.1919 00:00;8.5;;
SCE;08.02.1919 00:00;0;;
SCE;09.02.1919 00:00;0;;
SCE;10.02.1919 00:00;0;;
SCE;11.02.1919 00:00;0;;
SCE;12.02.1919 00:00;0;;
SCE;13.02.1919 00:00;0;;
SCE;14.02.1919 00:00;0;;
SCE;15.02.1919 00:00;0;;
SCE;16.02.1919 00:00;2.3;;
SCE;17.02.1919 00:00;6;;
SCE;18.02.1919 00:00;0;;
SCE;19.02.1919 00:00;0;;
SCE;20.02.1919 00:00;0;;
SCE;21.02.1919 00:00;2.9;;
SCE;22.02.1919 00:00;10;;
SCE;23.02.1919 00:00;32.5;;
SCE;24.02.1919 00:00;3;;
SCE;25.02.1919 00:00;0;;
SCE;26.02.1919 00:00;0;;
SCE;27.02.1919 00:00;3.5;;
SCE;28.02.1919 00:00;1;;
SCE;01.03.1919 00:00;1;;
SCE;02.03.1919 00:00;0;;
SCE;03.03.1919 00:00;0;;
SCE;04.03.1919 00:00;9.7;;
SCE;05.03.1919 00:00;4;;
SCE;06.03.1919 00:00;8;;
SCE;07.03.1919 00:00;0;;
SCE;08.03.1919 00:00;4;;
SCE;09.03.1919 00:00;0.7;;
SCE;10.03.1919 00:00;0;;
SCE;11.03.1919 00:00;0;;
SCE;12.03.1919 00:00;0;;
SCE;13.03.1919 00:00;4;;
SCE;14.03.1919 00:00;0;;
SCE;15.03.1919 00:00;2.2;;
SCE;16.03.1919 00:00;0;;
SCE;17.03.1919 00:00;10;;
SCE;18.03.1919 00:00;13;;
SCE;19.03.1919 00:00;0;;
SCE;20.03.1919 00:00;0;;
SCE;21.03.1919 00:00;0;;
SCE;22.03.1919 00:00;5.6;;
SCE;23.03.1919 00:00;2.3;;
SCE;24.03.1919 00:00;0;;
SCE;25.03.1919 00:00;0;;
SCE;26.03.1919 00:00;2.5;;
SCE;27.03.1919 00:00;5;;
SCE;28.03.1919 00:00;5.5;;
SCE;29.03.1919 00:00;3;;
SCE;30.03.1919 00:00;22;;
SCE;31.03.1919 00:00;23;;
SCE;01.04.1919 00:00;13.3;;
SCE;02.04.1919 00:00;3;;
SCE;03.04.1919 00:00;0;;
SCE;04.04.1919 00:00;0;;
SCE;05.04.1919 00:00;0;;
SCE;06.04.1919 00:00;0;;
SCE;07.04.1919 00:00;11.8;;
SCE;08.04.1919 00:00;41;;
SCE;09.04.1919 00:00;6.5;;
SCE;10.04.1919 00:00;8.5;;
SCE;11.04.1919 00:00;9.4;;
SCE;12.04.1919 00:00;1;;
SCE;13.04.1919 00:00;6.3;;
SCE;14.04.1919 00:00;1.4;;
SCE;15.04.1919 00:00;4;;
SCE;16.04.1919 00:00;4;;
SCE;17.04.1919 00:00;21;;
SCE;18.04.1919 00:00;0;;
SCE;19.04.1919 00:00;0;;
SCE;20.04.1919 00:00;0;;
SCE;21.04.1919 00:00;0;;
SCE;22.04.1919 00:00;0;;
SCE;23.04.1919 00:00;0;;
SCE;24.04.1919 00:00;4.7;;
SCE;25.04.1919 00:00;5;;
SCE;26.04.1919 00:00;7.5;;
SCE;27.04.1919 00:00;4.7;;
SCE;28.04.1919 00:00;4.5;;
SCE;29.04.1919 00:00;1.2;;
SCE;30.04.1919 00:00;3;;
SCE;01.05.1919 00:00;8.5;;
SCE;02.05.1919 00:00;7.5;;
SCE;03.05.1919 00:00;6.7;;
SCE;04.05.1919 00:00;0;;
SCE;05.05.1919 00:00;0;;
SCE;06.05.1919 00:00;0;;
SCE;07.05.1919 00:00;0;;
SCE;08.05.1919 00:00;4;;
SCE;09.05.1919 00:00;0.8;;
SCE;10.05.1919 00:00;0;;
SCE;11.05.1919 00:00;1.7;;
SCE;12.05.1919 00:00;1.2;;
SCE;13.05.1919 00:00;0;;
SCE;14.05.1919 00:00;0;;
SCE;15.05.1919 00:00;0;;
SCE;16.05.1919 00:00;0;;
SCE;17.05.1919 00:00;2;;
SCE;18.05.1919 00:00;7.8;;
SCE;19.05.1919 00:00;0;;
SCE;20.05.1919 00:00;0;;
SCE;21.05.1919 00:00;0;;
SCE;22.05.1919 00:00;0;;
SCE;23.05.1919 00:00;2.7;;
SCE;24.05.1919 00:00;0;;
SCE;25.05.1919 00:00;0;;
SCE;26.05.1919 00:00;3.5;;
SCE;27.05.1919 00:00;0;;
SCE;28.05.1919 00:00;0;;
SCE;29.05.1919 00:00;0;;
SCE;30.05.1919 00:00;0;;
SCE;31.05.1919 00:00;21;;
SCE;01.06.1919 00:00;0;;
SCE;02.06.1919 00:00;6.2;;
SCE;03.06.1919 00:00;0;;
SCE;04.06.1919 00:00;0;;
SCE;05.06.1919 00:00;17.2;;
SCE;06.06.1919 00:00;0;;
SCE;07.06.1919 00:00;0;;
SCE;08.06.1919 00:00;0;;
SCE;09.06.1919 00:00;0;;
SCE;10.06.1919 00:00;0;;
SCE;11.06.1919 00:00;0;;
SCE;12.06.1919 00:00;4;;
SCE;13.06.1919 00:00;2.8;;
SCE;14.06.1919 00:00;0;;
SCE;15.06.1919 00:00;0;;
SCE;16.06.1919 00:00;0;;
SCE;17.06.1919 00:00;0;;
SCE;18.06.1919 00:00;7;;
SCE;19.06.1919 00:00;5.5;;
SCE;20.06.1919 00:00;0;;
SCE;21.06.1919 00:00;2;;
SCE;22.06.1919 00:00;0;;
SCE;23.06.1919 00:00;0;;
SCE;24.06.1919 00:00;4.5;;
SCE;25.06.1919 00:00;30.2;;
SCE;26.06.1919 00:00;32.5;;
SCE;27.06.1919 00:00;7.2;;
SCE;28.06.1919 00:00;0;;
SCE;29.06.1919 00:00;7;;
SCE;30.06.1919 00:00;0;;
SCE;01.07.1919 00:00;5.5;;
SCE;02.07.1919 00:00;6.5;;
SCE;03.07.1919 00:00;0;;
SCE;04.07.1919 00:00;0;;
SCE;05.07.1919 00:00;1.7;;
SCE;06.07.1919 00:00;7;;
SCE;07.07.1919 00:00;18.5;;
SCE;08.07.1919 00:00;19.5;;
SCE;09.07.1919 00:00;0.6;;
SCE;10.07.1919 00:00;0;;
SCE;11.07.1919 00:00;0;;
SCE;12.07.1919 00:00;11.5;;
SCE;13.07.1919 00:00;12.5;;
SCE;14.07.1919 00:00;0;;
SCE;15.07.1919 00:00;16;;
SCE;16.07.1919 00:00;0;;
SCE;17.07.1919 00:00;0;;
SCE;18.07.1919 00:00;0;;
SCE;19.07.1919 00:00;4.3;;
SCE;20.07.1919 00:00;11.3;;
SCE;21.07.1919 00:00;0;;
SCE;22.07.1919 00:00;4.5;;
SCE;23.07.1919 00:00;28;;
SCE;24.07.1919 00:00;19;;
SCE;25.07.1919 00:00;0;;
SCE;26.07.1919 00:00;0;;
SCE;27.07.1919 00:00;0;;
SCE;28.07.1919 00:00;2;;
SCE;29.07.1919 00:00;18.5;;
SCE;30.07.1919 00:00;0;;
SCE;31.07.1919 00:00;0;;
SCE;01.08.1919 00:00;0;;
SCE;02.08.1919 00:00;0;;
SCE;03.08.1919 00:00;0;;
SCE;04.08.1919 00:00;0;;
SCE;05.08.1919 00:00;0;;
