station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ULR;05.12.1992 00:00;0.8;;
ULR;06.12.1992 00:00;0;;
ULR;07.12.1992 00:00;3.4;;
ULR;08.12.1992 00:00;0;;
ULR;09.12.1992 00:00;0;;
ULR;10.12.1992 00:00;0;;
ULR;11.12.1992 00:00;0;;
ULR;12.12.1992 00:00;10.9;;
ULR;13.12.1992 00:00;0;;
ULR;14.12.1992 00:00;0;;
ULR;15.12.1992 00:00;0;;
ULR;16.12.1992 00:00;0;;
ULR;17.12.1992 00:00;0;;
ULR;18.12.1992 00:00;0;;
ULR;19.12.1992 00:00;0;;
ULR;20.12.1992 00:00;0;;
ULR;21.12.1992 00:00;0;;
ULR;22.12.1992 00:00;0;;
ULR;23.12.1992 00:00;0;;
ULR;24.12.1992 00:00;0;;
ULR;25.12.1992 00:00;0;;
ULR;26.12.1992 00:00;0;;
ULR;27.12.1992 00:00;0;;
ULR;28.12.1992 00:00;0;;
ULR;29.12.1992 00:00;0;;
ULR;30.12.1992 00:00;0;;
ULR;31.12.1992 00:00;0;;
ULR;01.01.1993 00:00;0;;
ULR;02.01.1993 00:00;0;;
ULR;03.01.1993 00:00;0;;
ULR;04.01.1993 00:00;0;;
ULR;05.01.1993 00:00;0;;
ULR;06.01.1993 00:00;0;;
ULR;07.01.1993 00:00;0;;
ULR;08.01.1993 00:00;3;;
ULR;09.01.1993 00:00;0;;
ULR;10.01.1993 00:00;0;;
ULR;11.01.1993 00:00;0.9;;
ULR;12.01.1993 00:00;8.1;;
ULR;13.01.1993 00:00;0;;
ULR;14.01.1993 00:00;1.2;;
ULR;15.01.1993 00:00;0.1;;
ULR;16.01.1993 00:00;0;;
ULR;17.01.1993 00:00;0;;
ULR;18.01.1993 00:00;0;;
ULR;19.01.1993 00:00;0;;
ULR;20.01.1993 00:00;0;;
ULR;21.01.1993 00:00;0;;
ULR;22.01.1993 00:00;0;;
ULR;23.01.1993 00:00;0;;
ULR;24.01.1993 00:00;0;;
ULR;25.01.1993 00:00;2.2;;
ULR;26.01.1993 00:00;7.9;;
ULR;27.01.1993 00:00;21.8;;
ULR;28.01.1993 00:00;2;;
ULR;29.01.1993 00:00;0;;
ULR;30.01.1993 00:00;0;;
ULR;31.01.1993 00:00;0;;
ULR;01.02.1993 00:00;0;;
ULR;02.02.1993 00:00;0;;
ULR;03.02.1993 00:00;0;;
ULR;04.02.1993 00:00;0;;
ULR;05.02.1993 00:00;0;;
ULR;06.02.1993 00:00;0;;
ULR;07.02.1993 00:00;0;;
ULR;08.02.1993 00:00;0;;
ULR;09.02.1993 00:00;0;;
ULR;10.02.1993 00:00;0;;
ULR;11.02.1993 00:00;0;;
ULR;12.02.1993 00:00;0;;
ULR;13.02.1993 00:00;0;;
ULR;14.02.1993 00:00;0;;
ULR;15.02.1993 00:00;0;;
ULR;16.02.1993 00:00;0;;
ULR;17.02.1993 00:00;3.1;;
ULR;18.02.1993 00:00;0;;
ULR;19.02.1993 00:00;6.2;;
ULR;20.02.1993 00:00;9.5;;
ULR;21.02.1993 00:00;18.1;;
ULR;22.02.1993 00:00;1.8;;
ULR;23.02.1993 00:00;0;;
ULR;24.02.1993 00:00;0;;
ULR;25.02.1993 00:00;0;;
ULR;26.02.1993 00:00;0;;
ULR;27.02.1993 00:00;0;;
ULR;28.02.1993 00:00;18.6;;
ULR;01.03.1993 00:00;4.4;;
ULR;02.03.1993 00:00;0;;
ULR;03.03.1993 00:00;0.5;;
ULR;04.03.1993 00:00;0.1;;
ULR;05.03.1993 00:00;0;;
ULR;06.03.1993 00:00;0;;
ULR;07.03.1993 00:00;0;;
ULR;08.03.1993 00:00;0;;
ULR;09.03.1993 00:00;0;;
ULR;10.03.1993 00:00;0;;
ULR;11.03.1993 00:00;0;;
ULR;12.03.1993 00:00;0;;
ULR;13.03.1993 00:00;0;;
ULR;14.03.1993 00:00;0;;
ULR;15.03.1993 00:00;0;;
ULR;16.03.1993 00:00;0;;
ULR;17.03.1993 00:00;0.6;;
ULR;18.03.1993 00:00;0;;
ULR;19.03.1993 00:00;0;;
ULR;20.03.1993 00:00;0;;
ULR;21.03.1993 00:00;0.1;;
ULR;22.03.1993 00:00;4.1;;
ULR;23.03.1993 00:00;6.4;;
ULR;24.03.1993 00:00;0.8;;
ULR;25.03.1993 00:00;1;;
ULR;26.03.1993 00:00;0;;
ULR;27.03.1993 00:00;0;;
ULR;28.03.1993 00:00;0;;
ULR;29.03.1993 00:00;0;;
ULR;30.03.1993 00:00;0;;
ULR;31.03.1993 00:00;0;;
ULR;01.04.1993 00:00;0;;
ULR;02.04.1993 00:00;0;;
ULR;03.04.1993 00:00;0;;
ULR;04.04.1993 00:00;5.1;;
ULR;05.04.1993 00:00;13.6;;
ULR;06.04.1993 00:00;30.1;;
ULR;07.04.1993 00:00;43.3;;
ULR;08.04.1993 00:00;2.5;;
ULR;09.04.1993 00:00;1.3;;
ULR;10.04.1993 00:00;7.5;;
ULR;11.04.1993 00:00;0.7;;
ULR;12.04.1993 00:00;0.2;;
ULR;13.04.1993 00:00;0.4;;
ULR;14.04.1993 00:00;0;;
ULR;15.04.1993 00:00;0;;
ULR;16.04.1993 00:00;0;;
ULR;17.04.1993 00:00;0;;
ULR;18.04.1993 00:00;0;;
ULR;19.04.1993 00:00;0;;
ULR;20.04.1993 00:00;0;;
ULR;21.04.1993 00:00;0;;
ULR;22.04.1993 00:00;0;;
ULR;23.04.1993 00:00;0;;
ULR;24.04.1993 00:00;2.4;;
ULR;25.04.1993 00:00;19.9;;
ULR;26.04.1993 00:00;15.1;;
ULR;27.04.1993 00:00;0;;
ULR;28.04.1993 00:00;13.4;;
ULR;29.04.1993 00:00;1.3;;
ULR;30.04.1993 00:00;0;;
ULR;01.05.1993 00:00;0;;
ULR;02.05.1993 00:00;0;;
ULR;03.05.1993 00:00;0;;
ULR;04.05.1993 00:00;0;;
ULR;05.05.1993 00:00;0.5;;
ULR;06.05.1993 00:00;6.3;;
ULR;07.05.1993 00:00;0.1;;
ULR;08.05.1993 00:00;0.6;;
ULR;09.05.1993 00:00;0;;
ULR;10.05.1993 00:00;0;;
ULR;11.05.1993 00:00;2;;
ULR;12.05.1993 00:00;4.4;;
ULR;13.05.1993 00:00;0;;
ULR;14.05.1993 00:00;5.9;;
ULR;15.05.1993 00:00;2.9;;
ULR;16.05.1993 00:00;0;;
ULR;17.05.1993 00:00;0;;
ULR;18.05.1993 00:00;0;;
ULR;19.05.1993 00:00;0;;
ULR;20.05.1993 00:00;28.9;;
ULR;21.05.1993 00:00;6.5;;
ULR;22.05.1993 00:00;0;;
ULR;23.05.1993 00:00;0;;
ULR;24.05.1993 00:00;0;;
ULR;25.05.1993 00:00;0;;
ULR;26.05.1993 00:00;1.5;;
ULR;27.05.1993 00:00;2.9;;
ULR;28.05.1993 00:00;0;;
ULR;29.05.1993 00:00;0;;
ULR;30.05.1993 00:00;6.5;;
ULR;31.05.1993 00:00;0.5;;
ULR;01.06.1993 00:00;0.1;;
ULR;02.06.1993 00:00;17.9;;
ULR;03.06.1993 00:00;2;;
ULR;04.06.1993 00:00;0;;
ULR;05.06.1993 00:00;0;;
ULR;06.06.1993 00:00;1;;
ULR;07.06.1993 00:00;0;;
ULR;08.06.1993 00:00;0;;
ULR;09.06.1993 00:00;13;;
ULR;10.06.1993 00:00;7.9;;
ULR;11.06.1993 00:00;31.7;;
ULR;12.06.1993 00:00;0;;
ULR;13.06.1993 00:00;3.9;;
ULR;14.06.1993 00:00;3;;
ULR;15.06.1993 00:00;1.7;;
ULR;16.06.1993 00:00;0;;
ULR;17.06.1993 00:00;5.6;;
ULR;18.06.1993 00:00;0;;
ULR;19.06.1993 00:00;3.3;;
ULR;20.06.1993 00:00;2.8;;
ULR;21.06.1993 00:00;9.7;;
ULR;22.06.1993 00:00;12.6;;
ULR;23.06.1993 00:00;6.5;;
ULR;24.06.1993 00:00;0;;
ULR;25.06.1993 00:00;0;;
ULR;26.06.1993 00:00;0.1;;
ULR;27.06.1993 00:00;0;;
ULR;28.06.1993 00:00;0;;
ULR;29.06.1993 00:00;0.6;;
ULR;30.06.1993 00:00;6.9;;
ULR;01.07.1993 00:00;9.9;;
ULR;02.07.1993 00:00;3.1;;
ULR;03.07.1993 00:00;0;;
ULR;04.07.1993 00:00;0;;
ULR;05.07.1993 00:00;11.7;;
ULR;06.07.1993 00:00;0;;
ULR;07.07.1993 00:00;0;;
ULR;08.07.1993 00:00;0;;
ULR;09.07.1993 00:00;7.2;;
ULR;10.07.1993 00:00;36.1;;
ULR;11.07.1993 00:00;0.8;;
ULR;12.07.1993 00:00;7;;
ULR;13.07.1993 00:00;1.1;;
ULR;14.07.1993 00:00;8.4;;
ULR;15.07.1993 00:00;1.2;;
ULR;16.07.1993 00:00;0.2;;
ULR;17.07.1993 00:00;0.5;;
ULR;18.07.1993 00:00;1.8;;
ULR;19.07.1993 00:00;0;;
ULR;20.07.1993 00:00;3.1;;
ULR;21.07.1993 00:00;0.3;;
ULR;22.07.1993 00:00;0;;
ULR;23.07.1993 00:00;0;;
ULR;24.07.1993 00:00;0;;
ULR;25.07.1993 00:00;4.2;;
ULR;26.07.1993 00:00;0;;
ULR;27.07.1993 00:00;0;;
ULR;28.07.1993 00:00;0;;
ULR;29.07.1993 00:00;0;;
ULR;30.07.1993 00:00;10.9;;
ULR;31.07.1993 00:00;4.8;;
ULR;01.08.1993 00:00;0;;
ULR;02.08.1993 00:00;0;;
ULR;03.08.1993 00:00;3.2;;
ULR;04.08.1993 00:00;8.4;;
ULR;05.08.1993 00:00;0;;
ULR;06.08.1993 00:00;0;;
ULR;07.08.1993 00:00;0;;
ULR;08.08.1993 00:00;2.3;;
ULR;09.08.1993 00:00;0.4;;
ULR;10.08.1993 00:00;17;;
ULR;11.08.1993 00:00;0;;
ULR;12.08.1993 00:00;0;;
ULR;13.08.1993 00:00;0;;
ULR;14.08.1993 00:00;0.8;;
ULR;15.08.1993 00:00;0;;
ULR;16.08.1993 00:00;0;;
ULR;17.08.1993 00:00;0;;
ULR;18.08.1993 00:00;0;;
ULR;19.08.1993 00:00;0.6;;
ULR;20.08.1993 00:00;0;;
ULR;21.08.1993 00:00;0;;
ULR;22.08.1993 00:00;8.6;;
ULR;23.08.1993 00:00;6.6;;
ULR;24.08.1993 00:00;7.2;;
ULR;25.08.1993 00:00;0;;
ULR;26.08.1993 00:00;0;;
ULR;27.08.1993 00:00;23.9;;
ULR;28.08.1993 00:00;0;;
ULR;29.08.1993 00:00;0;;
ULR;30.08.1993 00:00;0;;
ULR;31.08.1993 00:00;0;;
ULR;01.09.1993 00:00;0;;
ULR;02.09.1993 00:00;0;;
ULR;03.09.1993 00:00;17.8;;
ULR;04.09.1993 00:00;1.3;;
ULR;05.09.1993 00:00;0;;
ULR;06.09.1993 00:00;0;;
ULR;07.09.1993 00:00;1.9;;
ULR;08.09.1993 00:00;1.5;;
ULR;09.09.1993 00:00;13.4;;
ULR;10.09.1993 00:00;0.1;;
ULR;11.09.1993 00:00;1.1;;
ULR;12.09.1993 00:00;0;;
ULR;13.09.1993 00:00;34.7;;
ULR;14.09.1993 00:00;0;;
ULR;15.09.1993 00:00;1.5;;
ULR;16.09.1993 00:00;0;;
ULR;17.09.1993 00:00;1.4;;
ULR;18.09.1993 00:00;3.1;;
ULR;19.09.1993 00:00;1.6;;
ULR;20.09.1993 00:00;0;;
ULR;21.09.1993 00:00;1.8;;
ULR;22.09.1993 00:00;34.1;;
ULR;23.09.1993 00:00;45.2;;
ULR;24.09.1993 00:00;75.3;;
ULR;25.09.1993 00:00;13.8;;
ULR;26.09.1993 00:00;3.1;;
ULR;27.09.1993 00:00;37.9;;
ULR;28.09.1993 00:00;7.9;;
ULR;29.09.1993 00:00;0;;
ULR;30.09.1993 00:00;0.2;;
ULR;01.10.1993 00:00;30.6;;
ULR;02.10.1993 00:00;71.1;;
ULR;03.10.1993 00:00;3.5;;
ULR;04.10.1993 00:00;1.5;;
ULR;05.10.1993 00:00;1.6;;
ULR;06.10.1993 00:00;16.7;;
ULR;07.10.1993 00:00;19.5;;
ULR;08.10.1993 00:00;26.2;;
ULR;09.10.1993 00:00;0;;
ULR;10.10.1993 00:00;0;;
ULR;11.10.1993 00:00;0;;
ULR;12.10.1993 00:00;10.1;;
ULR;13.10.1993 00:00;25;;
ULR;14.10.1993 00:00;6.3;;
ULR;15.10.1993 00:00;0;;
ULR;16.10.1993 00:00;0.6;;
ULR;17.10.1993 00:00;0.5;;
ULR;18.10.1993 00:00;0;;
ULR;19.10.1993 00:00;0;;
ULR;20.10.1993 00:00;0;;
ULR;21.10.1993 00:00;2.9;;
ULR;22.10.1993 00:00;0.1;;
ULR;23.10.1993 00:00;5.2;;
ULR;24.10.1993 00:00;3.5;;
ULR;25.10.1993 00:00;0;;
ULR;26.10.1993 00:00;0;;
ULR;27.10.1993 00:00;0;;
ULR;28.10.1993 00:00;0;;
ULR;29.10.1993 00:00;0;;
ULR;30.10.1993 00:00;0;;
ULR;31.10.1993 00:00;0.2;;
ULR;01.11.1993 00:00;0;;
ULR;02.11.1993 00:00;0;;
ULR;03.11.1993 00:00;0;;
ULR;04.11.1993 00:00;0;;
ULR;05.11.1993 00:00;6.5;;
ULR;06.11.1993 00:00;16.7;;
ULR;07.11.1993 00:00;0.4;;
ULR;08.11.1993 00:00;0.4;;
ULR;09.11.1993 00:00;0;;
ULR;10.11.1993 00:00;0;;
ULR;11.11.1993 00:00;5;;
ULR;12.11.1993 00:00;0.1;;
ULR;13.11.1993 00:00;5.6;;
ULR;14.11.1993 00:00;0.2;;
ULR;15.11.1993 00:00;4.4;;
ULR;16.11.1993 00:00;0;;
ULR;17.11.1993 00:00;0;;
ULR;18.11.1993 00:00;0;;
ULR;19.11.1993 00:00;0;;
ULR;20.11.1993 00:00;0;;
ULR;21.11.1993 00:00;0;;
ULR;22.11.1993 00:00;0;;
ULR;23.11.1993 00:00;0;;
ULR;24.11.1993 00:00;0;;
ULR;25.11.1993 00:00;0;;
ULR;26.11.1993 00:00;0;;
ULR;27.11.1993 00:00;0;;
ULR;28.11.1993 00:00;0;;
ULR;29.11.1993 00:00;0;;
ULR;30.11.1993 00:00;0;;
ULR;01.12.1993 00:00;0;;
ULR;02.12.1993 00:00;0;;
ULR;03.12.1993 00:00;0;;
ULR;04.12.1993 00:00;0;;
ULR;05.12.1993 00:00;0;;
ULR;06.12.1993 00:00;0.1;;
ULR;07.12.1993 00:00;15.7;;
ULR;08.12.1993 00:00;30.1;;
ULR;09.12.1993 00:00;0.5;;
ULR;10.12.1993 00:00;10;;
ULR;11.12.1993 00:00;3.2;;
ULR;12.12.1993 00:00;0.7;;
ULR;13.12.1993 00:00;0;;
ULR;14.12.1993 00:00;2.1;;
ULR;15.12.1993 00:00;15.6;;
ULR;16.12.1993 00:00;10.9;;
ULR;17.12.1993 00:00;15.7;;
ULR;18.12.1993 00:00;0;;
ULR;19.12.1993 00:00;39.9;;
ULR;20.12.1993 00:00;4.5;;
ULR;21.12.1993 00:00;5;;
ULR;22.12.1993 00:00;8.1;;
ULR;23.12.1993 00:00;2.4;;
ULR;24.12.1993 00:00;18.2;;
ULR;25.12.1993 00:00;1.4;;
ULR;26.12.1993 00:00;0;;
ULR;27.12.1993 00:00;0.1;;
ULR;28.12.1993 00:00;0.2;;
ULR;29.12.1993 00:00;1.3;;
ULR;30.12.1993 00:00;1.1;;
ULR;31.12.1993 00:00;16.8;;
ULR;01.01.1994 00:00;3.7;;
ULR;02.01.1994 00:00;18.2;;
ULR;03.01.1994 00:00;3.2;;
ULR;04.01.1994 00:00;3.7;;
ULR;05.01.1994 00:00;0.2;;
ULR;06.01.1994 00:00;30.3;;
ULR;07.01.1994 00:00;57.7;;
ULR;08.01.1994 00:00;7;;
ULR;09.01.1994 00:00;2.7;;
ULR;10.01.1994 00:00;4.8;;
ULR;11.01.1994 00:00;1.7;;
ULR;12.01.1994 00:00;0;;
ULR;13.01.1994 00:00;3.1;;
ULR;14.01.1994 00:00;9;;
ULR;15.01.1994 00:00;0;;
ULR;16.01.1994 00:00;0.2;;
ULR;17.01.1994 00:00;0;;
ULR;18.01.1994 00:00;0.2;;
ULR;19.01.1994 00:00;0;;
ULR;20.01.1994 00:00;0;;
ULR;21.01.1994 00:00;0;;
ULR;22.01.1994 00:00;0;;
ULR;23.01.1994 00:00;2.3;;
ULR;24.01.1994 00:00;41.5;;
ULR;25.01.1994 00:00;18.5;;
ULR;26.01.1994 00:00;7.2;;
ULR;27.01.1994 00:00;7.7;;
ULR;28.01.1994 00:00;4.5;;
ULR;29.01.1994 00:00;0;;
ULR;30.01.1994 00:00;0;;
ULR;31.01.1994 00:00;0.1;;
ULR;01.02.1994 00:00;0;;
ULR;02.02.1994 00:00;0;;
ULR;03.02.1994 00:00;0;;
ULR;04.02.1994 00:00;11.8;;
ULR;05.02.1994 00:00;1.6;;
ULR;06.02.1994 00:00;0.3;;
ULR;07.02.1994 00:00;17.8;;
ULR;08.02.1994 00:00;0.1;;
ULR;09.02.1994 00:00;0;;
ULR;10.02.1994 00:00;5.2;;
ULR;11.02.1994 00:00;0.1;;
ULR;12.02.1994 00:00;0;;
ULR;13.02.1994 00:00;0;;
ULR;14.02.1994 00:00;0;;
ULR;15.02.1994 00:00;0;;
ULR;16.02.1994 00:00;0;;
ULR;17.02.1994 00:00;0;;
ULR;18.02.1994 00:00;0;;
ULR;19.02.1994 00:00;0;;
ULR;20.02.1994 00:00;1.8;;
ULR;21.02.1994 00:00;2.9;;
ULR;22.02.1994 00:00;0;;
ULR;23.02.1994 00:00;0.1;;
ULR;24.02.1994 00:00;9.6;;
ULR;25.02.1994 00:00;0.2;;
ULR;26.02.1994 00:00;0;;
ULR;27.02.1994 00:00;5.3;;
ULR;28.02.1994 00:00;1.8;;
ULR;01.03.1994 00:00;12.5;;
ULR;02.03.1994 00:00;5.6;;
ULR;03.03.1994 00:00;8;;
ULR;04.03.1994 00:00;0;;
ULR;05.03.1994 00:00;0;;
ULR;06.03.1994 00:00;3;;
ULR;07.03.1994 00:00;0;;
ULR;08.03.1994 00:00;0;;
ULR;09.03.1994 00:00;0;;
ULR;10.03.1994 00:00;0;;
ULR;11.03.1994 00:00;0;;
ULR;12.03.1994 00:00;0;;
ULR;13.03.1994 00:00;0;;
ULR;14.03.1994 00:00;0;;
ULR;15.03.1994 00:00;0;;
ULR;16.03.1994 00:00;0;;
ULR;17.03.1994 00:00;0;;
ULR;18.03.1994 00:00;0;;
ULR;19.03.1994 00:00;0.8;;
ULR;20.03.1994 00:00;2.6;;
ULR;21.03.1994 00:00;0.1;;
ULR;22.03.1994 00:00;0;;
ULR;23.03.1994 00:00;0.4;;
ULR;24.03.1994 00:00;0;;
ULR;25.03.1994 00:00;3.8;;
ULR;26.03.1994 00:00;5.3;;
ULR;27.03.1994 00:00;0;;
ULR;28.03.1994 00:00;0;;
ULR;29.03.1994 00:00;0;;
ULR;30.03.1994 00:00;0;;
ULR;31.03.1994 00:00;0.8;;
ULR;01.04.1994 00:00;16.4;;
ULR;02.04.1994 00:00;1.5;;
ULR;03.04.1994 00:00;1.4;;
ULR;04.04.1994 00:00;9.1;;
ULR;05.04.1994 00:00;1.5;;
ULR;06.04.1994 00:00;3.7;;
ULR;07.04.1994 00:00;9.4;;
ULR;08.04.1994 00:00;2.7;;
ULR;09.04.1994 00:00;4.4;;
ULR;10.04.1994 00:00;0;;
ULR;11.04.1994 00:00;1.4;;
ULR;12.04.1994 00:00;7;;
ULR;13.04.1994 00:00;2.8;;
ULR;14.04.1994 00:00;33.8;;
ULR;15.04.1994 00:00;1.1;;
ULR;16.04.1994 00:00;0.2;;
ULR;17.04.1994 00:00;0;;
ULR;18.04.1994 00:00;0;;
ULR;19.04.1994 00:00;0.1;;
ULR;20.04.1994 00:00;0;;
ULR;21.04.1994 00:00;0;;
ULR;22.04.1994 00:00;0;;
ULR;23.04.1994 00:00;0;;
ULR;24.04.1994 00:00;0;;
ULR;25.04.1994 00:00;5.9;;
ULR;26.04.1994 00:00;0;;
ULR;27.04.1994 00:00;0;;
ULR;28.04.1994 00:00;0;;
ULR;29.04.1994 00:00;0;;
ULR;30.04.1994 00:00;0;;
ULR;01.05.1994 00:00;0;;
ULR;02.05.1994 00:00;0;;
ULR;03.05.1994 00:00;0;;
ULR;04.05.1994 00:00;6.5;;
ULR;05.05.1994 00:00;0.3;;
ULR;06.05.1994 00:00;0.8;;
ULR;07.05.1994 00:00;0;;
ULR;08.05.1994 00:00;4.5;;
ULR;09.05.1994 00:00;0.1;;
ULR;10.05.1994 00:00;0;;
ULR;11.05.1994 00:00;0;;
ULR;12.05.1994 00:00;0;;
ULR;13.05.1994 00:00;0.7;;
ULR;14.05.1994 00:00;14.5;;
ULR;15.05.1994 00:00;0;;
ULR;16.05.1994 00:00;4.2;;
ULR;17.05.1994 00:00;20.8;;
ULR;18.05.1994 00:00;54;;
ULR;19.05.1994 00:00;11.3;;
ULR;20.05.1994 00:00;9.3;;
ULR;21.05.1994 00:00;4.2;;
ULR;22.05.1994 00:00;0;;
ULR;23.05.1994 00:00;1;;
ULR;24.05.1994 00:00;7.8;;
ULR;25.05.1994 00:00;0;;
ULR;26.05.1994 00:00;20.9;;
ULR;27.05.1994 00:00;0.8;;
ULR;28.05.1994 00:00;9.8;;
ULR;29.05.1994 00:00;5.1;;
ULR;30.05.1994 00:00;8.3;;
ULR;31.05.1994 00:00;0;;
ULR;01.06.1994 00:00;0;;
ULR;02.06.1994 00:00;4.8;;
ULR;03.06.1994 00:00;0.5;;
ULR;04.06.1994 00:00;11.8;;
ULR;05.06.1994 00:00;1.8;;
ULR;06.06.1994 00:00;2;;
ULR;07.06.1994 00:00;0;;
ULR;08.06.1994 00:00;15.7;;
ULR;09.06.1994 00:00;0;;
ULR;10.06.1994 00:00;0;;
ULR;11.06.1994 00:00;0;;
ULR;12.06.1994 00:00;0;;
ULR;13.06.1994 00:00;0;;
ULR;14.06.1994 00:00;0;;
ULR;15.06.1994 00:00;0;;
ULR;16.06.1994 00:00;0;;
ULR;17.06.1994 00:00;0;;
ULR;18.06.1994 00:00;0;;
ULR;19.06.1994 00:00;10.2;;
ULR;20.06.1994 00:00;0;;
ULR;21.06.1994 00:00;0;;
ULR;22.06.1994 00:00;0;;
ULR;23.06.1994 00:00;0;;
ULR;24.06.1994 00:00;5;;
ULR;25.06.1994 00:00;6.3;;
ULR;26.06.1994 00:00;16.5;;
ULR;27.06.1994 00:00;1.7;;
ULR;28.06.1994 00:00;0;;
ULR;29.06.1994 00:00;0;;
ULR;30.06.1994 00:00;0;;
ULR;01.07.1994 00:00;0;;
ULR;02.07.1994 00:00;1.5;;
ULR;03.07.1994 00:00;0;;
ULR;04.07.1994 00:00;1.7;;
ULR;05.07.1994 00:00;0;;
ULR;06.07.1994 00:00;1.5;;
ULR;07.07.1994 00:00;0.2;;
ULR;08.07.1994 00:00;0.1;;
ULR;09.07.1994 00:00;0;;
ULR;10.07.1994 00:00;0;;
ULR;11.07.1994 00:00;0;;
ULR;12.07.1994 00:00;0;;
ULR;13.07.1994 00:00;0;;
ULR;14.07.1994 00:00;3.4;;
ULR;15.07.1994 00:00;0;;
ULR;16.07.1994 00:00;0;;
ULR;17.07.1994 00:00;0.7;;
ULR;18.07.1994 00:00;11.1;;
ULR;19.07.1994 00:00;23.5;;
ULR;20.07.1994 00:00;1.6;;
ULR;21.07.1994 00:00;0;;
ULR;22.07.1994 00:00;0;;
ULR;23.07.1994 00:00;0;;
ULR;24.07.1994 00:00;0;;
ULR;25.07.1994 00:00;1.6;;
ULR;26.07.1994 00:00;0;;
ULR;27.07.1994 00:00;0.2;;
ULR;28.07.1994 00:00;3.7;;
ULR;29.07.1994 00:00;0;;
ULR;30.07.1994 00:00;0;;
ULR;31.07.1994 00:00;0;;
ULR;01.08.1994 00:00;7.9;;
ULR;02.08.1994 00:00;0;;
ULR;03.08.1994 00:00;0;;
ULR;04.08.1994 00:00;0;;
ULR;05.08.1994 00:00;0;;
ULR;06.08.1994 00:00;1.8;;
ULR;07.08.1994 00:00;9.7;;
ULR;08.08.1994 00:00;4.9;;
ULR;09.08.1994 00:00;0;;
ULR;10.08.1994 00:00;7.8;;
ULR;11.08.1994 00:00;1.8;;
ULR;12.08.1994 00:00;0.4;;
ULR;13.08.1994 00:00;9.9;;
ULR;14.08.1994 00:00;0;;
ULR;15.08.1994 00:00;0;;
ULR;16.08.1994 00:00;0.1;;
ULR;17.08.1994 00:00;17.7;;
ULR;18.08.1994 00:00;0.1;;
ULR;19.08.1994 00:00;0;;
ULR;20.08.1994 00:00;0;;
ULR;21.08.1994 00:00;0;;
ULR;22.08.1994 00:00;0;;
ULR;23.08.1994 00:00;2.7;;
ULR;24.08.1994 00:00;5.1;;
ULR;25.08.1994 00:00;0.1;;
ULR;26.08.1994 00:00;0.1;;
ULR;27.08.1994 00:00;0;;
ULR;28.08.1994 00:00;0;;
ULR;29.08.1994 00:00;0;;
ULR;30.08.1994 00:00;10.3;;
ULR;31.08.1994 00:00;11.1;;
ULR;01.09.1994 00:00;11.9;;
ULR;02.09.1994 00:00;0.1;;
ULR;03.09.1994 00:00;0;;
ULR;04.09.1994 00:00;0;;
ULR;05.09.1994 00:00;0;;
ULR;06.09.1994 00:00;0.4;;
ULR;07.09.1994 00:00;0;;
ULR;08.09.1994 00:00;18.7;;
ULR;09.09.1994 00:00;0.9;;
ULR;10.09.1994 00:00;0.1;;
ULR;11.09.1994 00:00;3.2;;
ULR;12.09.1994 00:00;8.8;;
ULR;13.09.1994 00:00;13.1;;
ULR;14.09.1994 00:00;40.1;;
ULR;15.09.1994 00:00;6.7;;
ULR;16.09.1994 00:00;7.6;;
ULR;17.09.1994 00:00;0.9;;
ULR;18.09.1994 00:00;0;;
ULR;19.09.1994 00:00;0;;
ULR;20.09.1994 00:00;1.9;;
ULR;21.09.1994 00:00;0.2;;
ULR;22.09.1994 00:00;7.7;;
ULR;23.09.1994 00:00;25.8;;
ULR;24.09.1994 00:00;4.4;;
ULR;25.09.1994 00:00;0;;
ULR;26.09.1994 00:00;10.4;;
ULR;27.09.1994 00:00;0;;
ULR;28.09.1994 00:00;0;;
ULR;29.09.1994 00:00;0;;
ULR;30.09.1994 00:00;0;;
ULR;01.10.1994 00:00;0;;
ULR;02.10.1994 00:00;5.7;;
ULR;03.10.1994 00:00;17.6;;
ULR;04.10.1994 00:00;0.2;;
ULR;05.10.1994 00:00;0;;
ULR;06.10.1994 00:00;0;;
ULR;07.10.1994 00:00;0;;
ULR;08.10.1994 00:00;0;;
ULR;09.10.1994 00:00;0;;
ULR;10.10.1994 00:00;0;;
ULR;11.10.1994 00:00;0;;
ULR;12.10.1994 00:00;0;;
ULR;13.10.1994 00:00;0;;
ULR;14.10.1994 00:00;0;;
ULR;15.10.1994 00:00;0;;
ULR;16.10.1994 00:00;0;;
ULR;17.10.1994 00:00;0;;
ULR;18.10.1994 00:00;0;;
ULR;19.10.1994 00:00;0;;
ULR;20.10.1994 00:00;6.7;;
ULR;21.10.1994 00:00;0.1;;
ULR;22.10.1994 00:00;1.2;;
ULR;23.10.1994 00:00;14;;
ULR;24.10.1994 00:00;2.5;;
ULR;25.10.1994 00:00;1.9;;
ULR;26.10.1994 00:00;1.6;;
ULR;27.10.1994 00:00;0;;
ULR;28.10.1994 00:00;5.7;;
ULR;29.10.1994 00:00;0.3;;
ULR;30.10.1994 00:00;2.1;;
ULR;31.10.1994 00:00;0;;
ULR;01.11.1994 00:00;0;;
ULR;02.11.1994 00:00;0.3;;
ULR;03.11.1994 00:00;0;;
ULR;04.11.1994 00:00;5;;
ULR;05.11.1994 00:00;50.4;;
ULR;06.11.1994 00:00;16.4;;
